word|example|translation|example_translation|familiarity
essen|Iss leicht, bevor du lernst.|to eat|Eat lightly before you study.|0
trinken|Trink Wasser während der Übung.|to drink|Drink water during the exercise.|0
öffnen|Öffne die Datei mit den Verben.|to open|Open the file with the verbs.|0
schließen|Schließe die App nach dem Export.|to close|Close the app after exporting.|0
speichern|Speichere deine Änderungen regelmäßig.|to save|Save your changes regularly.|0
laden|Lade die neue CSV in LingoFlow.|to load|Load the new CSV into LingoFlow.|0
exportieren|Exportiere die Liste als Backup.|to export|Export the list as a backup.|0
importieren|Importiere ein Deck mit Phrasen.|to import|Import a deck with phrases.|0
sortieren|Sortiere die Tabelle nach Verben.|to sort|Sort the table by verbs.|0
filtern|Filtere nur Sätze mit A1-Wörtern.|to filter|Filter only sentences with A1 words.|0
suchen|Suche „sein“ in der Liste.|to search|Search for “sein” in the list.|0
ersetzen|Ersetze das Wort durch ein Synonym.|to replace|Replace the word with a synonym.|0
kopieren|Kopiere den Satz in deine Notizen.|to copy|Copy the sentence into your notes.|0
einfügen|Füge die Übersetzung darunter ein.|to paste|Paste the translation underneath.|0
ausschneiden|Schneide die alte Zeile aus.|to cut|Cut out the old row.|0
zurücknehmen|Nimm die letzte Änderung zurück.|to undo|Undo the last change.|0
wiederherstellen|Stelle die Version von gestern her.|to restore|Restore yesterday’s version.|0
bestätigen|Bestätige die Auswahl mit OK.|to confirm|Confirm the selection with OK.|0
abbrechen|Brich den Vorgang bei Bedarf ab.|to cancel|Cancel the process if needed.|0
anzeigen|Zeige alle Spalten der Tabelle an.|to display|Display all columns of the table.|0
ausblenden|Blende die Übersetzung bei Übung aus.|to hide|Hide the translation during practice.|0
einblenden|Blende sie später wieder ein.|to show|Show it again later.|0
hinzufügen|Füge ein neues Beispiel hinzu.|to add|Add a new example.|0
entfernen|Entferne doppelte Einträge.|to remove|Remove duplicate entries.|0
benennen|Benenne das Deck „Verben A1“.|to name|Name the deck “Verbs A1.”|0
umbenennen|Benenne es später „Verben A2“ um.|to rename|Rename it later “Verbs A2.”|0
wechseln|Wechsle oben zum anderen Deck.|to switch|Switch to the other deck above.|0
prüfen|Prüfe die Übersetzung noch einmal.|to check|Check the translation once more.|0
abfragen|Frage dich fünf Wörter selbst ab.|to quiz|Quiz yourself on five words.|0
einordnen|Ordne den Satz in Thema „Reisen“ ein.|to classify|Classify the sentence under “travel.”|0
kennzeichnen|Kennzeichne schwierige Sätze mit Stern.|to tag|Tag difficult sentences with a star.|0
bewerten|Bewerte die Schwierigkeit ehrlich.|to rate|Honestly rate the difficulty.|0
hochsetzen|Setze die Familiarität um eins hoch.|to raise|Raise familiarity by one.|0
herabsetzen|Setze sie bei Unsicherheit runter.|to lower|Lower it when unsure.|0
spüren|Spür die Betonung beim Sprechen.|to feel|Feel the stress while speaking.|0
wahrnehmen|Nimm kleine Pausen bewusst wahr.|to notice|Notice small pauses consciously.|0
halten|Halte Blick und Ohr auf dem Satz.|to hold|Keep eyes and ears on the sentence.|0
lösen|Löse die Aufgabe in Ruhe.|to solve|Solve the task calmly.|0
vorbereiten|Bereite dich kurz auf Audio vor.|to prepare|Prepare briefly for the audio.|0
starten|Starte den Auto-Play-Modus jetzt.|to start|Start auto-play now.|0
stoppen|Stoppe die Wiedergabe nach zehn Sätzen.|to stop|Stop playback after ten sentences.|0
fortfahren|Fahre danach nahtlos fort.|to continue|Continue seamlessly afterwards.|0
unterbrechen|Unterbrich nur bei Anrufen.|to interrupt|Interrupt only for calls.|0
wiederaufnehmen|Nimm die Übung schnell wieder auf.|to resume|Resume the exercise quickly.|0
angleichen|Gleiche Tempo an dein Niveau an.|to align|Align speed to your level.|0
erhöhen|Erhöhe die Lautstärke etwas.|to increase|Increase the volume a little.|0
verringern|Verringere sie abends deutlich.|to decrease|Decrease it significantly in the evening.|0
wechseln (Stimme)|Wechsle zur neutralen Stimme.|to switch (voice)|Switch to the neutral voice.|0
anhalten|Halte nach jeder Zeile kurz an.|to pause|Pause briefly after each line.|0
ablaufen|Lass die Liste einmal komplett ab.|to run through|Run through the list once completely.|0
spüren (Fortschritt)|Spür deinen Fortschritt bewusst.|to sense|Consciously sense your progress.|0
steuern|Steuere alles bequem mit Tasten.|to control|Control everything conveniently with keys.|0
bedienen|Bediene die App ohne Maus.|to operate|Operate the app without a mouse.|0
einrichten|Richte einen Lernordner ein.|to set up|Set up a study folder.|0
aufräumen|Räume alte Dateien auf.|to tidy up|Tidy up old files.|0
sichern|Sichere Backups auf dem Stick.|to back up|Back up files on the stick.|0
aktualisieren|Aktualisiere dein Deck wöchentlich.|to update|Update your deck weekly.|0
sammeln|Sammle neue Wörter beim Hören.|to collect|Collect new words while listening.|0
auswählen|Wähle nur zehn pro Tag aus.|to select|Select only ten per day.|0
aufteilen|Teile sie in kleine Gruppen.|to split up|Split them into small groups.|0
abmessen|Miss deine Zeit mit einem Timer.|to measure|Measure your time with a timer.|0
einplanen|Plane Pausen alle 20 Minuten ein.|to schedule|Schedule breaks every 20 minutes.|0
einhalten|Halte diese Pausen wirklich ein.|to stick to|Stick to these breaks for real.|0
mitrechnen|Rechne Zeit für Wiederholung mit.|to factor in|Factor in time for review.|0
ausgleichen|Gleiche schwere Tage später aus.|to compensate|Compensate heavy days later.|0
abschwächen|Schwäche den Druck durch Routine ab.|to mitigate|Mitigate pressure through routine.|0
verstärken|Verstärke gute Gewohnheiten.|to strengthen|Strengthen good habits.|0
einprägen|Präge dir Beispiele mit Bildern ein.|to memorize|Memorize examples with images.|0
verknüpfen|Verknüpfe Wörter mit kleinen Szenen.|to link|Link words with small scenes.|0
abrufen|Rufe die Szene beim Sprechen ab.|to recall|Recall the scene when speaking.|0
festigen|Festige Neues mit langsamem Tempo.|to consolidate|Consolidate new things at a slow pace.|0
lockern|Lockere am Ende mit Musik.|to loosen|Loosen up at the end with music.|0
durchhalten|Halte die fünf Minuten tapfer durch.|to persevere|Persevere bravely for five minutes.|0
nachlassen|Lass nicht nach bei den Endungen.|to slack off|Don’t slack off with the endings.|0
zulegen|Leg morgen etwas beim Tempo zu.|to pick up|Pick up the pace a bit tomorrow.|0
einfallen|Fällt dir ein einfaches Beispiel ein?|to occur (come to mind)|Does a simple example occur to you?|0
ausdenken|Denk dir einen kurzen Dialog aus.|to make up|Make up a short dialogue.|0
nachahmen|Ahme die Sprechmelodie nach.|to imitate|Imitate the speech melody.|0
übertreiben|Übertreibe die Betonung am Anfang.|to exaggerate|Exaggerate the stress at first.|0
vereinfachen|Vereinfache den Satz für A1.|to simplify|Simplify the sentence for A1.|0
verlängern|Verlängere ihn später mit Details.|to lengthen|Lengthen it later with details.|0
kürzen|Kürze überflüssige Wörter radikal.|to shorten|Shorten unnecessary words radically.|0
ersetzen (Pronomen)|Ersetze Nomen durch Pronomen.|to replace|Replace nouns with pronouns.|0
beantworten|Beantworte die Frage in einem Satz.|to answer|Answer the question in one sentence.|0
fragen|Frag dich: „Was bedeutet das?“|to ask|Ask yourself: “What does that mean?”|0
notieren|Notiere die Antwort kurz.|to note|Note the answer briefly.|0
strukturieren|Strukturiere die Notizen mit Punkten.|to structure|Structure notes with bullet points.|0
überprüfen|Überprüfe die Liste am Abend.|to verify|Verify the list in the evening.|0
abschicken|Schicke Feedback an dich selbst.|to send off|Send feedback to yourself.|0
wiedergeben|Gib den Inhalt in eigenen Worten wieder.|to reproduce|Reproduce the content in your own words.|0
zusammenfassen|Fasse die Sitzung in drei Sätzen zusammen.|to summarize|Summarize the session in three sentences.|0
vergleichen|Vergleiche Anfang und Ende des Tages.|to compare|Compare the day’s start and end.|0
ableiten|Leite eine Regel aus Beispielen ab.|to derive|Derive a rule from examples.|0
anwenden|Wende die Regel sofort an.|to apply|Apply the rule immediately.|0
belegen|Belege sie mit zwei neuen Sätzen.|to support|Support it with two new sentences.|0
hinterfragen|Frage deine Annahmen freundlich.|to question|Question your assumptions kindly.|0
validieren|Validiere sie mit Audio.|to validate|Validate them with audio.|0
korrigieren|Korrigiere Fehler ohne Drama.|to correct|Correct mistakes without drama.|0
akzeptieren|Akzeptiere, dass Lernen Zeit braucht.|to accept|Accept that learning takes time.|0
planen|Plane morgen fünf Minuten extra.|to plan|Plan five extra minutes for tomorrow.|0
riskieren|Riskiere kurze Sätze ohne Hilfe.|to risk|Risk short sentences without help.|0
beweisen|Beweise dir, dass es klappt.|to prove|Prove to yourself that it works.|0
zeigen (Fortschritt)|Zeige dir sichtbaren Fortschritt.|to show|Show yourself visible progress.|0
feiern|Feiere kleine Erfolge kurz.|to celebrate|Briefly celebrate small successes.|0
werten|Werte Fehler als Hinweis.|to judge|Judge mistakes as a hint.|0
nachgehen|Geh der Ursache ruhig nach.|to pursue|Calmly pursue the cause.|0
stillen|Stille deine Neugier mit Fragen.|to satisfy|Satisfy your curiosity with questions.|0
überraschen|Lass dich von Lösungen überraschen.|to surprise|Let solutions surprise you.|0
abstimmen (Filter)|Stimme Filter auf dein Ziel ab.|to tune|Tune filters to your goal.|0
durchsehen|Sieh die Einstellungen einmal durch.|to review|Review the settings once.|0
optimieren|Optimiere nur einen Schritt.|to optimize|Optimize just one step.|0
standardisieren|Standardisiere dein Abendritual.|to standardize|Standardize your evening ritual.|0
protokollieren|Protokolliere die Lernzeit kurz.|to log|Briefly log the study time.|0
grafisch zeigen|Zeige Fortschritt grafisch.|to show graphically|Show progress graphically.|0
abgleichen (Gefühl/Zahl)|Gleiche Gefühl mit Zahlen ab.|to align|Align feeling with numbers.|0
entscheiden|Entscheide dich für eine Sache.|to decide|Decide on one thing.|0
verwerfen (Option)|Verwirf eine Option bewusst.|to discard|Discard one option deliberately.|0
priorisieren|Priorisiere Hören vor Sprechen.|to prioritize|Prioritize listening before speaking.|0
balancieren|Balanciere Input und Output.|to balance|Balance input and output.|0
übertragen (Schrift)|Übertrage Satz vom Ohr in Schrift.|to transcribe|Transcribe the sentence from ear to writing.|0
gegenlesen (laut)|Lies die Transkription laut gegen.|to proofread aloud|Proofread the transcription aloud.|0
abgleichen (Audio)|Gleiche Schreibweise mit Audio ab.|to match|Match spelling with the audio.|0
markieren (Fehler)|Markiere nur den Hauptfehler.|to mark|Mark only the main error.|0
trainieren (Ziel)|Trainiere genau deinen Zielklang.|to train|Train exactly your target sound.|0
verstärken (Ziel)|Verstärke diesen Klang bewusst.|to reinforce|Reinforce this sound consciously.|0
reduzieren (Ablenkung)|Reduziere Störungen mit Kopfhörern.|to reduce|Reduce disturbances with headphones.|0
kalibrieren (Laut)|Kalibriere die Lautstärke morgens.|to calibrate|Calibrate the volume in the morning.|0
justieren (Tempo)|Justiere das Tempo fein.|to adjust|Adjust the speed finely.|0
durchstarten (Tag)|Starte den Tag mit zwei Sätzen.|to kick off|Kick off the day with two sentences.|0
abschließen (Tag)|Schließe den Tag mit Wiederholung.|to finish|Finish the day with review.|0
abgleichen (Tage)|Gleiche heutige mit gestrigen Sätzen ab.|to compare|Compare today’s with yesterday’s sentences.|0
entdecken (Lücken)|Entdecke kleine Lücken freundlich.|to discover|Gently discover small gaps.|0
füllen (Lücken)|Fülle sie mit einfachen Beispielen.|to fill|Fill them with simple examples.|0
steigern|Steigere die Länge sehr langsam.|to increase|Increase the length very slowly.|0
senken|Senke sie wieder bei Müdigkeit.|to lower|Lower it again when tired.|0
absichern|Sichere Neues mit zwei Wiederholungen.|to secure|Secure new items with two reviews.|0
var iieren|Variiere Satzanfang und Ende.|to vary|Vary sentence beginning and ending.|0
kombinieren|Kombiniere zwei Wörter kreativ.|to combine|Combine two words creatively.|0
trennen|Trenne lange Sätze in Teile.|to split|Split long sentences into parts.|0
vereinen|Vereine Teile wieder zu einem Satz.|to unite|Unite parts back into one sentence.|0
umstellen|Stell die Wortfolge vorsichtig um.|to reorder|Reorder the word order carefully.|0
betonen|Betone heute nur das Verb.|to stress|Stress only the verb today.|0
abschätzen|Schätze dein Niveau ehrlich.|to estimate|Honestly estimate your level.|0
einordnen (A1/A2)|Ordne dich zwischen A1 und A2 ein.|to place|Place yourself between A1 and A2.|0
aufholen|Hol verpasste Übung morgen nach.|to catch up|Catch up on missed practice tomorrow.|0
vorarbeiten|Arbeite heute eine Lektion vor.|to work ahead|Work one lesson ahead today.|0
zurückstellen|Stelle schweres Thema zurück.|to postpone|Postpone the difficult topic.|0
durchführen|Führe den Plan wie besprochen durch.|to carry out|Carry out the plan as discussed.|0
abgleichen (Plan)|Gleiche Plan und Realität ab.|to reconcile|Reconcile plan and reality.|0
berücksichtigen|Berücksichtige deine Energie.|to consider|Consider your energy.|0
einfließen lassen|Lass Pausen im Plan einfließen.|to incorporate|Incorporate breaks into the plan.|0
aufzeichnen|Zeichne eine kurze Sprachnotiz auf.|to record|Record a short voice note.|0
abhören|Höre deine Aufnahme kritisch ab.|to listen back|Listen back to your recording critically.|0
vergleichen (Vorbild)|Vergleiche mit einem Vorbild.|to compare|Compare with a role model.|0
anpassen (Ziel)|Passe Ziel nach Feedback an.|to adjust|Adjust the goal after feedback.|0
fixieren|Fixiere Lernzeit im Kalender.|to lock in|Lock study time in the calendar.|0
einhalten (Termin)|Halte den Termin mit dir ein.|to keep|Keep the appointment with yourself.|0
abschirmen|Schirme dich zehn Minuten ab.|to shield|Shield yourself for ten minutes.|0
abschalten|Schalte Benachrichtigungen aus.|to turn off|Turn off notifications.|0
einschalten|Schalte Fokusmodus ein.|to turn on|Turn on focus mode.|0
einblenden (Hilfe)|Blende kurze Hilfen ein.|to display|Display short hints.|0
ausblenden (Hilfe)|Blende sie nachher wieder aus.|to hide|Hide them again afterwards.|0
durchzählen|Zähl die Worte im Satz durch.|to count through|Count the words in the sentence.|0
aussprechen|Sprich jeden Laut deutlich aus.|to pronounce|Pronounce every sound clearly.|0
einhaken|Hake bei Unklarheit sofort ein.|to step in|Step in immediately when unclear.|0
nachfragen|Frag freundlich nach Bedeutung.|to ask further|Kindly ask about the meaning.|0
vergewissern|Vergewissere dich: Verstanden?|to make sure|Make sure: understood?|0
bestärken (weiter)|Bestärke dich: Weiter so!|to encourage|Encourage yourself: Keep it up!|0
belasten (nicht)|Belaste dich nicht mit Perfektion.|to burden (not)|Don’t burden yourself with perfection.|0
loslassen|Lass kleine Fehler einfach los.|to let go|Just let go of small mistakes.|0
durchatmen (tief)|Atme zweimal tief durch.|to take a deep breath|Take two deep breaths.|0
anlächeln|Lächle dich im Spiegel an.|to smile at|Smile at yourself in the mirror.|0
wertschätzen (Zeit)|Schätze deine Zeit wert.|to appreciate|Appreciate your time.|0
vermindern (Druck)|Mindere Druck mit Mini-Zielen.|to lessen|Lessen pressure with mini-goals.|0
stärken (Mut)|Stärke deinen Mut mit Praxis.|to strengthen|Strengthen your courage with practice.|0
herausnehmen (Tempo)|Nimm Tempo kurz heraus.|to take out|Take out the speed briefly.|0
hineinlegen (Energie)|Leg Energie ins Sprechen.|to put in|Put energy into speaking.|0
loslegen|Leg jetzt mit dem ersten Satz los.|to get started|Get started now with the first sentence.|0
durchstarten|Starte morgen pünktlich mit fünf Sätzen durch.|to kick into gear|Kick off tomorrow on time with five sentences.|0
vorkommen|Fehler kommen vor, das ist normal.|to occur|Mistakes happen; that’s normal.|0
ausreichen|Fünf Minuten reichen heute vollkommen aus.|to suffice|Five minutes are completely enough today.|0
anzünden|Zünde eine Duftkerze für Ruhe an.|to light|Light a scented candle for calm.|0
ausmachen|Mach leise Musik im Hintergrund aus.|to turn off|Turn off soft background music.|0
anmachen|Mach die Lernlampe am Schreibtisch an.|to turn on|Turn on the study lamp at the desk.|0
zumachen|Mach die Tür zu, bitte.|to close|Close the door, please.|0
aufmachen|Mach das Fenster kurz auf.|to open|Open the window briefly.|0
weglegen|Leg dein Handy bewusst weg.|to put away|Put your phone away deliberately.|0
bereitstellen|Stell Wasser und Notizblock bereit.|to provide|Provide water and a notepad.|0
durchblättern|Blättere die Notizen kurz durch.|to leaf through|Leaf through the notes briefly.|0
ausmalen|Male dir den Dialog bildlich aus.|to visualize|Visualize the dialogue vividly.|0
vorlesen|Lies den Satz langsam vor.|to read aloud|Read the sentence slowly aloud.|0
nachsprechen|Sprich die Wörter deutlich nach.|to repeat|Repeat the words clearly.|0
vortragen|Trage zwei Sätze frei vor.|to present|Present two sentences freely.|0
aufzeichnen (Video)|Zeichne eine Minute Video auf.|to record (video)|Record one minute of video.|0
hochladen|Lade die Aufnahme in deinen Ordner hoch.|to upload|Upload the recording to your folder.|0
herunterladen|Lade das Deck anschließend herunter.|to download|Then download the deck.|0
verfolgen|Verfolge täglich deinen Fortschritt.|to track|Track your progress daily.|0
eintragen|Trage die Zeit in die Tabelle ein.|to enter|Enter the time in the table.|0
abrunden|Runde die Minuten nach unten ab.|to round down|Round the minutes down.|0
aufrunden|Runde sie morgen großzügig auf.|to round up|Round them up generously tomorrow.|0
zusortieren|Sortiere neue Wörter zu Themen.|to sort into|Sort new words into topics.|0
nachpriorisieren|Priorisiere schwierige Wörter nach.|to reprioritize|Reprioritize difficult words.|0
abhaken|Hake fünf Sätze als geschafft ab.|to tick off|Tick off five sentences as done.|0
vorziehen|Zieh heute das Hören vor.|to give priority|Give listening priority today.|0
nachziehen|Zieh das Sprechen später nach.|to catch up|Catch up on speaking later.|0
durchatmen (ruhig)|Atme ruhig vier Sekunden ein.|to breathe|Breathe in calmly for four seconds.|0
ausatmen|Atme doppelt so lange aus.|to exhale|Exhale for twice as long.|0
aufwecken|Weck deine Stimme mit Summen auf.|to wake up|Wake your voice with humming.|0
einstimmen|Stimme dich freundlich aufs Lernen ein.|to attune|Attune yourself kindly to learning.|0
abgleichen (Ziel)|Gleiche Ziel und Aufwand ab.|to align|Align goal and effort.|0
übertragen (Plan)|Übertrage den Plan auf Papier.|to transfer|Transfer the plan to paper.|0
reduzieren (Ziele)|Reduziere Ziele auf das Wesentliche.|to reduce|Reduce goals to the essentials.|0
erweitern (Ziele)|Erweitere sie später bewusst.|to expand|Expand them consciously later.|0
vormachen|Mach die Übung einmal vor.|to demonstrate|Demonstrate the exercise once.|0
mitmachen|Mach die Übung jetzt mit.|to join in|Join the exercise now.|0
verweilen|Verweile kurz bei der Betonung.|to linger|Linger briefly on the stress.|0
lossprechen|Sprich einfach los, ohne Angst.|to start speaking|Just start speaking, without fear.|0
hinhören|Hör aufmerksam auf Endungen.|to listen closely|Listen closely to endings.|0
weghören|Hör bei Ablenkung bewusst weg.|to tune out|Tune out distractions deliberately.|0
umschalten|Schalte in den Fokusmodus um.|to switch|Switch into focus mode.|0
einsetzen|Setze das neue Wort im Satz ein.|to use|Use the new word in a sentence.|0
aufgreifen|Greif das Thema von gestern auf.|to pick up|Pick up yesterday’s topic.|0
ausprobieren|Probier eine andere Betonung aus.|to try out|Try a different stress.|0
verwerfen|Verwirf ungeeignete Beispiele.|to discard|Discard unsuitable examples.|0
behalten|Behalte zwei klare Beispiele.|to keep|Keep two clear examples.|0
verschieben|Verschiebe schwere Wörter auf morgen.|to postpone|Postpone hard words to tomorrow.|0
durchgehen|Geh die Liste Schritt für Schritt durch.|to go through|Go through the list step by step.|0
einsetzen (Audio)|Setze Audio bei jedem Satz ein.|to employ|Employ audio with every sentence.|0
wegstreichen|Streiche Füllwörter weg.|to strike out|Strike out filler words.|0
entdecken (Muster)|Entdecke wiederkehrende Muster.|to discover|Discover recurring patterns.|0
notieren (Muster)|Notiere das Muster in kurz.|to note|Note the pattern briefly.|0
bestimmen|Bestimme das Hauptwort im Satz.|to determine|Determine the main word in the sentence.|0
hervorheben|Heb das Verb farbig hervor.|to highlight|Highlight the verb in color.|0
unterstreichen|Unterstreiche die Endung sauber.|to underline|Underline the ending neatly.|0
ansetzen|Setze bei der Schwäche gezielt an.|to target|Target the weakness directly.|0
nachlegen|Leg zwei Wiederholungen nach.|to add|Add two more repetitions.|0
abschirmen (Zeit)|Schirme deine Lernzeit klar ab.|to shield|Clearly shield your study time.|0
zusichern|Sichere dir zehn Minuten täglich zu.|to promise|Promise yourself ten minutes daily.|0
einhalten (Zusagen)|Halte diese Zusage freundlich ein.|to keep|Keep this promise kindly.|0
aufbauen|Bau Routine Stein für Stein auf.|to build up|Build routine brick by brick.|0
unterstützen|Unterstütze dich mit kleinen Hilfen.|to support|Support yourself with small aids.|0
wegfallen|Viele Hilfen werden bald wegfallen.|to fall away|Many aids will soon fall away.|0
ausgleichen (Tempo)|Gleiche schnelles mit langsamem Tempo aus.|to balance|Balance fast with slow pace.|0
überlappen|Lass Lesen und Hören überlappen.|to overlap|Let reading and listening overlap.|0
abschätzen (Zeit)|Schätze die Dauer realistisch ab.|to estimate|Estimate the duration realistically.|0
einrechnen|Rechne Puffer für Pausen ein.|to factor in|Factor buffer time for breaks in.|0
einsetzen (Timer)|Setze einen Timer auf fünf Minuten.|to set|Set a timer for five minutes.|0
verlängern (Timer)|Verlängere danach um zwei Minuten.|to extend|Extend by two minutes afterwards.|0
verkürzen (Timer)|Verkürze bei Müdigkeit rechtzeitig.|to shorten|Shorten in time when tired.|0
verinnerlichen|Verinnerliche Klang und Rhythmus.|to internalize|Internalize sound and rhythm.|0
auflockern|Lockere die Stimme mit „la la la“.|to loosen up|Loosen your voice with “la la la.”|0
einatmen (leise)|Atme leise durch die Nase ein.|to inhale|Inhale quietly through your nose.|0
ausatmen (langsam)|Atme langsam durch den Mund aus.|to exhale|Exhale slowly through your mouth.|0
anmuten|Das klingt einfacher, als es ist.|to seem|That sounds easier than it is.|0
bewältigen|Bewältige eine Sache nach der anderen.|to cope with|Handle one thing after another.|0
ablegen (Angst)|Leg die Angst vor Fehlern ab.|to shed|Shed the fear of mistakes.|0
aufbauen (Mut)|Bau Mut mit Mini-Erfolgen auf.|to build|Build courage with mini successes.|0
durchführen (Test)|Führ einen kurzen Selbttest durch.|to carry out|Carry out a short self-test.|0
auswerten|Werte das Ergebnis nüchtern aus.|to analyze|Analyze the result soberly.|0
anpassen (Plan)|Passe deinen Plan minimal an.|to adjust|Adjust your plan minimally.|0
einhaken (Hilfe)|Hake Hilfe nur punktuell ein.|to hook in|Hook help only selectively.|0
überfordern|Überfordere dich nicht absichtlich.|to overwhelm|Don’t overwhelm yourself on purpose.|0
unterfordern|Unterfordere dich aber auch nicht.|to underchallenge|Don’t underchallenge yourself either.|0
durchmischen|Mische leichte und schwere Sätze.|to mix|Mix easy and hard sentences.|0
abschwitzen|Schwitz die Nervosität einfach ab.|to sweat out|Just sweat out the nervousness.|0
eintakten|Takte Wiederholungen in den Tag ein.|to schedule|Schedule reviews into the day.|0
verankern|Verankere Lernen nach dem Frühstück.|to anchor|Anchor study after breakfast.|0
entkoppeln|Kopple Lernen von Laune ab.|to decouple|Decouple study from mood.|0
anerkennen|Erkenne kleine Fortschritte an.|to acknowledge|Acknowledge small progress.|0
belohnen|Belohne dich mit einer Pause.|to reward|Reward yourself with a break.|0
mitnehmen|Nimm Kopfhörer überall mit.|to take along|Take headphones everywhere.|0
aufsetzen|Setz sie für fünf Minuten auf.|to put on|Put them on for five minutes.|0
absetzen|Setz sie nach dem Track ab.|to take off|Take them off after the track.|0
einreichen|Reiche dir selbst eine Rückmeldung ein.|to submit|Submit feedback to yourself.|0
zusprechen|Sprich dir Mut und Geduld zu.|to encourage|Encourage yourself with courage and patience.|0
herausfinden|Finde morgen dein Spitzenfenster heraus.|to find out|Find your prime window tomorrow.|0
festhalten|Halte daran konsequent fest.|to hold on|Stick to it consistently.|0
weitergeben|Gib gute Tipps an Freunde weiter.|to pass on|Pass good tips on to friends.|0
einholen|Hol dir Feedback von einem Freund ein.|to obtain|Obtain feedback from a friend.|0
übernehmen|Übernimm nur passende Ratschläge.|to adopt|Adopt only suitable advice.|0
abwandeln|Wandle Ideen leicht für dich ab.|to modify|Modify ideas slightly for yourself.|0
einsehen|Sieh ein: Weniger ist oft mehr.|to realize|Realize: less is often more.|0
umsetzen|Setze eine kleine Idee sofort um.|to implement|Implement one small idea immediately.|0
durchziehen|Zieh die Mini-Aufgabe tapfer durch.|to push through|Bravely push through the mini task.|0
verlieren (Fokus)|Verlier den Fokus nicht aus den Augen.|to lose|Don’t lose focus out of sight.|0
wiederfinden|Finde ihn mit Atem wieder.|to find again|Find it again with breathing.|0
wiederholen (leise)|Wiederhole den Satz ganz leise.|to repeat|Repeat the sentence very quietly.|0
betonen (anders)|Betone diesmal das letzte Wort.|to emphasize|Emphasize the last word this time.|0
unterteilen|Teile den Satz in zwei Stücke.|to divide|Divide the sentence into two pieces.|0
zusammenfügen|Füg die Stücke langsam zusammen.|to merge|Merge the pieces slowly.|0
vorziehen (Morgen)|Zieh Lernen auf den Morgen vor.|to bring forward|Bring study forward to the morning.|0
nach hinten schieben|Schieb Social Media nach hinten.|to push back|Push social media to later.|0
übersehen|Überseh kleine Schnitzer gelassen.|to overlook|Calmly overlook small slips.|0
aufspüren|Spüre wiederkehrende Fehler auf.|to track down|Track down recurring mistakes.|0
eindämmen|Dämme sie mit Fokus auf eins ein.|to contain|Contain them by focusing on one.|0
verlernen|Verlerne schlechte Aussprache langsam.|to unlearn|Slowly unlearn poor pronunciation.|0
entfallen|Heute entfällt die lange Session.|to be cancelled|The long session is cancelled today.|0
nachholen|Hol sie morgen entspannt nach.|to make up|Make it up tomorrow calmly.|0
einwechseln (Stimme)|Wechsle zur hellen Stimme.|to switch|Switch to the bright voice.|0
auswechseln (Methode)|Wechsle Methode bei Stagnation.|to change|Change method when stagnating.|0
aufzeichnen (Fortschritt)|Zeichne wöchentlich Fortschritt auf.|to record|Record progress weekly.|0
vergleichen (Woche)|Vergleiche Woche eins mit zwei.|to compare|Compare week one with two.|0
verkraften|Verkrafte schwache Tage gelassen.|to cope with|Cope with weak days calmly.|0
zulegen (Mut)|Leg an Mut Schritt für Schritt zu.|to gain|Gain courage step by step.|0
abkühlen|Kühle nach intensiver Übung ab.|to cool down|Cool down after intensive practice.|0
aufwärmen|Wärme vor dem Sprechen auf.|to warm up|Warm up before speaking.|0
einchecken|Check kurz bei dir selbst ein.|to check in|Briefly check in with yourself.|0
auschecken|Check nach der Session aus.|to check out|Check out after the session.|0
verabreden|Verabrede dich mit dir selbst.|to make an appointment|Make an appointment with yourself.|0
wiedersehen|Sieh deinen Fortschritt wieder.|to see again|See your progress again.|0
aufrechterhalten|Halte die Routine aufrecht.|to maintain|Maintain the routine.|0
entfalten|Entfalte deine Stimme natürlich.|to unfold|Unfold your voice naturally.|0
auskosten|Koste kleine Erfolge bewusst aus.|to savor|Savor small successes consciously.|0
anvertrauen|Vertrau dir den Prozess an.|to entrust|Entrust yourself to the process.|0
zuhören|Hör deinem eigenen Klang zu.|to listen|Listen to your own sound.|0
wiederkehren|Kehre jeden Tag kurz zurück.|to return|Return briefly every day.|0
vorankommen|Komm langsam, aber sicher voran.|to make progress|Make slow but sure progress.|0
nachlassen (Laut)|Lass die Lautstärke jetzt nach.|to decrease|Let the volume decrease now.|0
zunehmen (Tempo)|Nimm das Tempo leicht zu.|to increase|Increase the speed slightly.|0
überprüfen (Aussprache)|Prüfe deine Aussprache mit Audio.|to check|Check your pronunciation with audio.|0
durchsetzen|Setze deine Lernzeit freundlich durch.|to assert|Assert your study time kindly.|0
beinhalten|Der Plan beinhaltet Pausen.|to include|The plan includes breaks.|0
wecken (Interesse)|Weck dein Interesse mit Themen.|to awaken|Awaken your interest with topics.|0
stimulieren|Stimuliere Lernen mit Neugier.|to stimulate|Stimulate learning with curiosity.|0
entkrampfen|Krampf dich nicht beim Sprechen.|to relax|Don’t tense up when speaking.|0
vermeiden|Vermeide Multitasking bewusst.|to avoid|Consciously avoid multitasking.|0
zulassen|Lass Pausen ohne Schuld zu.|to allow|Allow breaks without guilt.|0
ausdehnen|Dehne die Session sanft aus.|to extend|Gently extend the session.|0
abkürzen|Kürze sie heute bewusst ab.|to shorten|Consciously shorten it today.|0
